lid,loan_amount,currency,sector
653051,300.0,PKR,Food
653053,575.0,PKR,Trns
653068,150.0,INR,Trns
653063,200.0,PKR,Arts
653084,400.0,PKR,Food
653067,200.0,INR,Agri
653078,400.0,PKR,Serv
653082,475.0,PKR,Manu
653048,625.0,PKR,Food
653060,200.0,PKR,Trns
653088,400.0,PKR,Sale
653089,400.0,PKR,Reta
653062,400.0,PKR,Clth
653075,225.0,INR,Agri
653054,300.0,PKR,Trns
653091,400.0,PKR,Reta
653052,875.0,PKR,Serv
653066,250.0,INR,Serv
653080,475.0,PKR,Serv
653065,250.0,PKR,Food
653055,350.0,PKR,Food
653050,575.0,PKR,Clth
653079,350.0,PKR,Arts
653061,250.0,PKR,Food
653074,250.0,INR,Agri
653069,250.0,INR,Cons
653056,475.0,PKR,Trns
653071,125.0,INR,Agri
653073,250.0,INR,Agri
653059,250.0,PKR,Clth
653087,400.0,PKR,Manu
653076,450.0,PKR,Reta
653072,250.0,INR,Agri
653086,400.0,PKR,Food
653058,400.0,PKR,Serv
653083,475.0,PKR,Serv
653057,350.0,PKR,Reta
653090,475.0,PKR,Reta
653064,250.0,PKR,Heal
653077,475.0,PKR,Food
653081,200.0,PKR,Educ
653049,250.0,PKR,Reta
653085,450.0,PKR,Trns
653070,150.0,INR,Agri
653185,250.0,KES,Food
653272,250.0,INR,Agri
653359,600.0,NIO,Serv
653418,450.0,USD,Reta
653092,175.0,PHP,Agri
653149,175.0,PHP,Agri
653432,550.0,PEN,Puse
653380,225.0,XOF,Food
653123,700.0,PHP,Reta
653338,575.0,PHP,Agri
653237,250.0,KES,Reta
653229,250.0,KES,Serv
653192,800.0,USD,Agri
653308,150.0,LRD,Food
653227,250.0,PKR,Clth
653242,325.0,PHP,Reta
653287,275.0,LRD,Reta
653311,150.0,LRD,Food
653108,125.0,PHP,Reta
653134,575.0,PHP,Agri
653247,250.0,KES,Food
653115,275.0,PHP,Agri
653320,875.0,TZS,Reta
653099,700.0,PHP,Agri
653378,250.0,LRD,Serv
653117,575.0,PHP,Agri
653274,250.0,INR,Cons
653328,125.0,LRD,Food
653335,350.0,PHP,Reta
653324,125.0,LRD,Food
653381,325.0,LRD,Food
653107,325.0,PHP,Reta
653345,600.0,KES,Food
653301,250.0,INR,Agri
653114,350.0,PHP,Agri
653103,350.0,PHP,Food
653113,350.0,PHP,Reta
653093,925.0,PHP,Cons
653314,350.0,KES,Food
653166,600.0,USD,Agri
653303,200.0,INR,Reta
653376,225.0,XOF,Reta
653159,250.0,KES,Food
653203,250.0,KES,Clth
653102,475.0,PHP,Agri
653146,175.0,PHP,Agri
653298,150.0,LRD,Reta
653358,125.0,PHP,Reta
653245,250.0,KES,Serv
653346,200.0,LRD,Food
653394,325.0,LRD,Reta
653098,250.0,PHP,Food
653151,150.0,PHP,Reta
653306,250.0,KES,Clth
653393,250.0,LRD,Reta
653225,250.0,KES,Serv
653384,850.0,XOF,Manu
653347,175.0,LRD,Food
653434,750.0,HNL,Food
653278,250.0,INR,Cons
653291,325.0,LRD,Reta
653370,375.0,LRD,Clth
653139,200.0,PHP,Agri
653276,250.0,KES,Clth
653148,250.0,PHP,Reta
653310,250.0,KES,Food
653199,250.0,KES,Food
653424,725.0,PEN,Cons
653313,600.0,KES,Clth
653392,375.0,LRD,Food
653135,475.0,PHP,Reta
653104,250.0,PHP,Reta
653198,250.0,KES,Food
653417,425.0,COP,Educ
653344,225.0,PHP,Food
653097,350.0,PHP,Agri
653364,250.0,NIO,Reta
653136,625.0,PHP,Reta
653429,750.0,HNL,Serv
653342,475.0,COP,Educ
653127,700.0,PHP,Agri
653179,600.0,KES,Agri
653145,250.0,PHP,Reta
653208,500.0,KES,Food
653106,350.0,PHP,Hous
653330,200.0,PHP,Agri
653121,250.0,PHP,Food
653367,175.0,NIO,Food
653211,200.0,USD,Food
653350,250.0,KES,Serv
653158,325.0,PHP,Clth
653352,150.0,PHP,Food
653302,250.0,KES,Food
653233,125.0,KES,Food
653273,150.0,INR,Cons
653174,575.0,PHP,Agri
653349,225.0,PHP,Food
653124,425.0,PHP,Arts
653173,600.0,KES,Food
653325,700.0,KES,Reta
653125,250.0,PHP,Serv
653307,750.0,TJS,Educ
653241,250.0,KES,Food
653360,500.0,USD,Reta
653366,475.0,COP,Educ
653111,475.0,PHP,Reta
653389,125.0,XOF,Agri
653333,425.0,PHP,Clth
653396,800.0,NIO,Clth
653280,175.0,INR,Food
653413,550.0,USD,Food
653262,250.0,KES,Clth
653200,250.0,KES,Food
653374,500.0,USD,Hous
653178,875.0,TZS,Reta
653340,350.0,PHP,Reta
653327,250.0,KES,Food
653371,150.0,LRD,Food
653379,800.0,COP,Educ
653282,125.0,KES,Serv
653197,250.0,KES,Agri
653243,250.0,KES,Serv
653309,250.0,KES,Food
653411,475.0,COP,Educ
653362,475.0,COP,Educ
653299,250.0,INR,Agri
653431,375.0,PEN,Food
653300,150.0,LRD,Food
653210,250.0,KES,Reta
653094,700.0,PHP,Agri
653436,675.0,USD,Reta
653304,250.0,KES,Food
653140,525.0,COP,Clth
653180,475.0,KES,Reta
653402,800.0,NIO,Food
653341,475.0,PHP,Food
653425,300.0,USD,Food
653297,125.0,LRD,Reta
653285,250.0,INR,Agri
653315,200.0,LRD,Food
653144,250.0,PHP,Agri
653270,650.0,USD,Clth
653215,450.0,PKR,Puse
653356,125.0,PHP,Food
653205,450.0,PKR,Reta
653100,150.0,PHP,Agri
653119,250.0,PHP,Food
653386,250.0,LRD,Reta
653204,250.0,KES,Food
653150,325.0,COP,Clth
653331,125.0,LRD,Food
653109,350.0,PHP,Reta
653412,375.0,USD,Clth
653214,175.0,KES,Serv
653137,300.0,PHP,Agri
653361,500.0,USD,Manu
653317,250.0,KES,Food
653096,325.0,PHP,Food
653133,475.0,PHP,Agri
653157,600.0,KES,Food
653187,475.0,KES,Clth
653289,250.0,INR,Agri
653220,250.0,KES,Food
653147,700.0,PHP,Serv
653398,400.0,NIO,Clth
653230,250.0,KES,Agri
653387,750.0,HNL,Food
653130,575.0,PHP,Food
653404,750.0,HNL,Food
653416,600.0,BOB,Reta
653391,375.0,LRD,Food
653355,150.0,PHP,Food
653421,375.0,USD,Food
653202,600.0,KES,Reta
653110,275.0,PHP,Agri
653105,425.0,PHP,Reta
653250,125.0,KES,Clth
653435,350.0,USD,Food
653268,400.0,USD,Educ
653437,775.0,USD,Food
653223,250.0,PHP,Reta
653334,600.0,KES,Food
653354,325.0,LRD,Food
653353,475.0,COP,Educ
653329,250.0,KES,Food
653138,200.0,PHP,Food
653339,350.0,KES,Food
653120,275.0,PHP,Agri
653407,275.0,COP,Arts
653118,475.0,PHP,Hous
653128,250.0,PHP,Agri
653249,350.0,YER,Food
653409,875.0,BOB,Cons
653288,200.0,LRD,Food
653257,350.0,KES,Clth
653095,275.0,PHP,Agri
653397,475.0,COP,Educ
653336,200.0,LRD,Food
653401,475.0,COP,Educ
653321,600.0,KES,Serv
653428,550.0,PEN,Hous
653406,750.0,HNL,Agri
653322,600.0,KES,Food
653305,600.0,KES,Food
653294,325.0,LRD,Food
653122,350.0,PHP,Food
653426,300.0,USD,Clth
653224,250.0,KES,Food
653385,325.0,LRD,Reta
653196,700.0,USD,Puse
653238,250.0,KES,Serv
653351,250.0,PHP,Reta
653395,250.0,NIO,Clth
653235,250.0,KES,Serv
653101,425.0,PHP,Reta
653162,500.0,USD,Trns
653390,800.0,NIO,Food
653142,250.0,PHP,Food
653189,250.0,KES,Food
653377,600.0,NIO,Reta
653423,700.0,USD,Reta
653153,250.0,PHP,Reta
653131,675.0,PHP,Food
653612,450.0,USD,Hous
653756,500.0,USD,Hous
653600,250.0,KHR,Hous
653466,250.0,PHP,Food
653463,150.0,PHP,Reta
653547,850.0,TJS,Agri
653786,100.0,USD,Puse
653469,175.0,PHP,Reta
653445,725.0,PEN,Trns
653638,950.0,GHS,Food
653441,200.0,HNL,Food
653782,100.0,USD,Puse
653657,450.0,PKR,Manu
653684,625.0,GHS,Reta
653650,125.0,LRD,Food
653462,400.0,USD,Agri
653750,350.0,USD,Hous
653453,225.0,PHP,Reta
653636,600.0,KES,Reta
653494,200.0,PHP,Reta
653788,100.0,USD,Puse
653664,600.0,KES,Reta
653685,250.0,KES,Clth
653712,475.0,YER,Puse
653770,100.0,USD,Puse
653796,700.0,USD,Reta
653604,700.0,KES,Serv
653713,450.0,COP,Educ
653537,500.0,USD,Educ
653587,125.0,KES,Clth
653775,725.0,USD,Agri
653514,350.0,PKR,Clth
653599,175.0,XOF,Reta
653680,400.0,PKR,Manu
653606,850.0,KES,Food
653573,625.0,TJS,Trns
653544,125.0,KES,Serv
653576,900.0,KHR,Agri
653717,300.0,SLL,Food
653490,575.0,PHP,Reta
653681,475.0,KES,Reta
653491,250.0,PHP,Reta
653669,600.0,KES,Agri
653527,650.0,USD,Educ
653611,250.0,SLL,Clth
653739,300.0,SLL,Reta
653754,425.0,COP,Educ
653582,600.0,KES,Reta
653523,250.0,PKR,Trns
653549,250.0,KES,Food
653730,300.0,USD,Hous
653482,500.0,PHP,Agri
653618,300.0,PKR,Serv
653793,100.0,USD,Puse
653458,475.0,PHP,Reta
653769,100.0,USD,Puse
653760,500.0,USD,Hous
653506,500.0,USD,Hous
653630,250.0,INR,Agri
653719,300.0,USD,Hous
653670,400.0,PKR,Food
653439,500.0,HNL,Food
653526,350.0,PKR,Serv
653697,350.0,KES,Puse
653703,600.0,KES,Food
653524,850.0,TJS,Hous
653472,225.0,PHP,Food
653593,250.0,KES,Food
653696,600.0,KES,Puse
653667,475.0,PKR,Serv
653651,750.0,KHR,Agri
653634,250.0,INR,Agri
653654,525.0,GHS,Food
653707,600.0,KES,Reta
653734,350.0,SLL,Food
653781,700.0,USD,Reta
653489,200.0,PEN,Agri
653662,400.0,PKR,Serv
653692,600.0,KES,Agri
653500,800.0,PEN,Hous
653553,125.0,KES,Food
653735,250.0,SLL,Food
653566,200.0,PKR,Puse
653476,300.0,USD,Food
